Feature,Mean |SHAP|
numerical__HoldWeight_Right_GyroMag_Median,0.0
numerical__HoldWeight_Left_GyroMag_Median,0.0
numerical__DrinkGlas_Left_GyroMag_Median,0.0
numerical__CrossArms_Left_GyroMag_Median,0.0
numerical__StretchHold_Left_GyroMag_Mean,0.0
numerical__HoldWeight_Right_GyroMag_IQR,0.0
numerical__HoldWeight_Left_GyroMag_IQR,0.0
numerical__TouchNose_Left_GyroMag_Range,0.0
numerical__LiftHold_Left_GyroMag_Range,0.0
numerical__HoldWeight_Left_GyroMag_Range,0.0
numerical__DrinkGlas_Right_GyroMag_Range,0.0
numerical__TouchNose_Left_GyroMag_Max,0.0
numerical__LiftHold_Left_GyroMag_Max,0.0
numerical__HoldWeight_Left_GyroMag_Max,0.0
numerical__DrinkGlas_Right_GyroMag_Max,0.0
numerical__StretchHold_Left_GyroMag_Min,0.0
numerical__LiftHold_Right_GyroMag_Min,0.0
numerical__HoldWeight_Left_GyroMag_Min,0.0
numerical__DrinkGlas_Right_GyroMag_Min,0.0
numerical__DrinkGlas_Left_GyroMag_Min,0.0
numerical__CrossArms_Left_GyroMag_Min,0.0
numerical__CrossArms_LeftWrist_acc_z_dominant_frequency,0.0
numerical__CrossArms_LeftWrist_acc_y_spectral_entropy,0.0
numerical__CrossArms_LeftWrist_acc_magnitude_spectral_entropy,0.0
numerical__CrossArms_LeftWrist_acc_magnitude_dominant_frequency,0.0
numerical__TouchNose_Right_GyroMag_Energy,0.0
numerical__TouchNose_Left_GyroMag_Energy,0.0
numerical__PointFinger_Left_GyroMag_Energy,0.0
numerical__DrinkGlas_Left_GyroMag_Energy,0.0
numerical__PointFinger_Left_GyroMag_RMS,0.0
numerical__LiftHold_Left_GyroMag_RMS,0.0
numerical__HoldWeight_Right_GyroMag_RMS,0.0
numerical__HoldWeight_Left_GyroMag_RMS,0.0
numerical__DrinkGlas_Left_GyroMag_RMS,0.0
numerical__TouchNose_Right_GyroMag_IQR,0.0
numerical__CrossArms_RightWrist_acc_y_spectral_entropy,0.0
numerical__CrossArms_RightWrist_acc_x_spectral_entropy,0.0
numerical__CrossArms_RightWrist_acc_x_dominant_frequency,0.0
numerical__CrossArms_LeftWrist_gyro_z_spectral_entropy,0.0
numerical__CrossArms_LeftWrist_gyro_z_spectral_centroid,0.0
numerical__CrossArms_LeftWrist_gyro_z_dominant_frequency,0.0
numerical__CrossArms_LeftWrist_gyro_y_spectral_entropy,0.0
numerical__CrossArms_LeftWrist_gyro_y_spectral_centroid,0.0
numerical__CrossArms_LeftWrist_gyro_y_dominant_frequency,0.0
numerical__CrossArms_LeftWrist_gyro_x_dominant_frequency,0.0
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_centroid,0.0
numerical__CrossArms_LeftWrist_gyro_magnitude_dominant_frequency,0.0
