Feature,Mean |SHAP|
numerical__Relaxed_LeftWrist_gyro_y_dominant_frequency,0.0
numerical__Relaxed_LeftWrist_gyro_z_spectral_entropy,0.0
numerical__Relaxed_RightWrist_acc_magnitude_spectral_centroid,0.0
numerical__Relaxed_RightWrist_acc_magnitude_spectral_entropy,0.0
numerical__Relaxed_RightWrist_acc_x_spectral_entropy,0.0
numerical__DrinkGlas_Left_GyroX_Energy,0.0
numerical__Relaxed_RightWrist_acc_z_spectral_entropy,0.0
numerical__Relaxed_RightWrist_gyro_magnitude_spectral_centroid,0.0
numerical__CrossArms_Right_GyroY_Mean,0.0
numerical__Relaxed_RightWrist_gyro_x_spectral_centroid,0.0
numerical__PointFinger_Right_GyroY_Median,0.0
numerical__HoldWeight_Right_GyroY_Std,0.0
numerical__TouchNose_Left_GyroY_Std,0.0
numerical__Relaxed_RightWrist_gyro_z_spectral_entropy,0.0
numerical__StretchHold_LeftWrist_acc_x_spectral_centroid,0.0
numerical__StretchHold_LeftWrist_acc_x_spectral_entropy,0.0
numerical__StretchHold_LeftWrist_acc_y_spectral_entropy,0.0
numerical__TouchNose_Right_GyroY_Std,0.0
numerical__HoldWeight_Left_GyroY_Max,0.0
numerical__TouchNose_Right_GyroY_Max,0.0
numerical__TouchNose_Left_GyroY_Range,0.0
numerical__StretchHold_RightWrist_acc_x_spectral_centroid,0.0
numerical__StretchHold_RightWrist_acc_x_spectral_entropy,0.0
numerical__TouchNose_Right_GyroY_Range,0.0
numerical__StretchHold_RightWrist_acc_y_spectral_entropy,0.0
numerical__StretchHold_RightWrist_acc_z_dominant_frequency,0.0
numerical__StretchHold_RightWrist_gyro_x_dominant_frequency,0.0
numerical__StretchHold_RightWrist_gyro_x_spectral_entropy,0.0
numerical__DrinkGlas_Left_GyroY_IQR,0.0
numerical__DrinkGlas_Right_GyroY_IQR,0.0
numerical__HoldWeight_Left_GyroY_IQR,0.0
numerical__HoldWeight_Right_GyroY_IQR,0.0
numerical__PointFinger_Left_GyroY_IQR,0.0
numerical__TouchNose_Left_GyroY_IQR,0.0
numerical__TouchNose_Right_GyroY_IQR,0.0
numerical__TouchIndex_RightWrist_acc_magnitude_spectral_centroid,0.0
numerical__TouchIndex_RightWrist_acc_magnitude_spectral_entropy,0.0
numerical__TouchIndex_RightWrist_acc_x_spectral_entropy,0.0
numerical__TouchIndex_RightWrist_acc_y_spectral_entropy,0.0
numerical__TouchNose_Left_GyroY_RMS,0.0
numerical__TouchNose_Right_GyroY_RMS,0.0
numerical__HoldWeight_Right_GyroY_Energy,0.0
numerical__RelaxedTask_LeftWrist_gyro_y_spectral_centroid,0.0
numerical__TouchNose_LeftWrist_acc_x_spectral_entropy,0.0
numerical__TouchNose_Left_GyroY_Energy,0.0
numerical__TouchNose_LeftWrist_gyro_magnitude_dominant_frequency,0.0
numerical__TouchNose_Right_GyroY_Energy,0.0
numerical__TouchNose_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__CrossArms_Right_GyroZ_Mean,0.0
numerical__TouchNose_LeftWrist_gyro_y_dominant_frequency,0.0
numerical__TouchNose_LeftWrist_gyro_z_dominant_frequency,0.0
numerical__DrinkGlas_Right_GyroZ_Std,0.0
numerical__TouchNose_RightWrist_acc_magnitude_spectral_centroid,0.0
numerical__TouchNose_RightWrist_acc_x_spectral_centroid,0.0
numerical__TouchNose_RightWrist_acc_x_spectral_entropy,0.0
numerical__TouchNose_RightWrist_gyro_magnitude_dominant_frequency,0.0
numerical__DrinkGlas_Right_GyroZ_Min,0.0
numerical__TouchNose_RightWrist_gyro_magnitude_spectral_entropy,0.0
