Feature,Mean |SHAP|
numerical__TouchNose_Right_GyroMag_IQR,0.0021729881
numerical__TouchNose_Right_AccMag_Min,0.0021645075
numerical__TouchNose_Left_GyroZ_IQR,0.0021573496
numerical__DrinkGlas_Right_AccMag_Median,0.0021507938
numerical__HoldWeight_Left_GyroMag_Min,0.002141313
numerical__Entrainment_LeftWrist_acc_y_spectral_centroid,0.0021127502
numerical__CrossArms_Left_GyroX_IQR,0.0020906257
numerical__CrossArms_LeftWrist_acc_y_spectral_entropy,0.002032823
numerical__HoldWeight_RightWrist_acc_x_spectral_centroid,0.002025747
numerical__CrossArms_RightWrist_acc_z_dominant_frequency,0.0020141017
numerical__DrinkGlas_RightWrist_gyro_z_spectral_entropy,0.0019664366
numerical__TouchIndex_Left_GyroZ_IQR,0.0019548323
numerical__HoldWeight_Right_GyroMag_IQR,0.00193284
categorical__alcohol_effect_on_tremor_Improvement,0.0019314841
numerical__LiftHold_Right_GyroMag_Mean,0.0019181209
numerical__DrinkGlas_RightWrist_gyro_magnitude_spectral_entropy,0.0019052016
numerical__LiftHold_Left_GyroMag_Mean,0.0018991209
numerical__Relaxed_LeftWrist_gyro_y_dominant_frequency,0.0018947084
numerical__TouchNose_RightWrist_gyro_magnitude_spectral_power,0.0018913648
numerical__StretchHold_Left_GyroMag_Min,0.0018905982
numerical__Relaxed_RightWrist_acc_x_spectral_entropy,0.0018596379
numerical__StretchHold_RightWrist_acc_z_dominant_frequency,0.0018292277
numerical__HoldWeight_Right_GyroMag_Mean,0.0018264002
numerical__DrinkGlas_RightWrist_acc_x_dominant_frequency,0.0018013163
numerical__CrossArms_Left_AccZ_IQR,0.0017847909
numerical__CrossArms_RightWrist_gyro_z_spectral_centroid,0.0017195946
numerical__DrinkGlas_Left_GyroMag_Min,0.0016981285
numerical__CrossArms_Left_AccX_IQR,0.0016805934
numerical__HoldWeight_RightWrist_acc_x_dominant_frequency,0.0016609958
numerical__HoldWeight_RightWrist_gyro_magnitude_dominant_frequency,0.0016506728
numerical__LiftHold_Right_AccMag_Mean,0.0016359786
numerical__CrossArms_LeftWrist_acc_z_spectral_entropy,0.0016147735
numerical__HoldWeight_RightWrist_acc_y_spectral_centroid,0.0016144346
numerical__CrossArms_RightWrist_acc_magnitude_spectral_centroid,0.0015831158
numerical__DrinkGlas_Left_GyroY_Std,0.0015699324
numerical__CrossArms_LeftWrist_acc_z_dominant_frequency,0.0015647052
numerical__Q05,0.0015625313
numerical__HoldWeight_Left_GyroMag_IQR,0.0014517877
numerical__LiftHold_Left_GyroX_Std,0.0014131393
numerical__HoldWeight_Right_GyroX_Min,0.0014026773
numerical__StretchHold_RightWrist_acc_y_spectral_entropy,0.0013985791
numerical__HoldWeight_Left_GyroMag_Std,0.001388714
numerical__TouchIndex_Left_AccZ_Median,0.0013804423
numerical__DrinkGlas_Left_AccMag_Min,0.0013558165
numerical__DrinkGlas_Right_GyroMag_Max,0.0012919236
numerical__PointFinger_RightWrist_gyro_z_spectral_entropy,0.0012398011
numerical__TouchNose_Left_GyroMag_RMS,0.0012183937
numerical__LiftHold_Left_AccZ_IQR,0.001198403
numerical__weight_kg,0.001166625
numerical__TouchIndex_Left_GyroZ_Max,0.0011648237
numerical__RelaxedTask_RightWrist_acc_x_spectral_centroid,0.0011626957
numerical__DrinkGlas_Left_GyroMag_RMS,0.0011396281
numerical__HoldWeight_Left_AccX_Std,0.0011252535
numerical__LiftHold_Left_GyroZ_IQR,0.0011128801
numerical__TouchNose_Left_GyroMag_Range,0.0011080866
numerical__PointFinger_Left_AccZ_IQR,0.0010952299
numerical__LiftHold_Right_GyroMag_Median,0.001089901
numerical__DrinkGlas_RightWrist_gyro_magnitude_spectral_centroid,0.0010589832
numerical__TouchNose_RightWrist_gyro_y_dominant_frequency,0.0010265324
numerical__TouchNose_Left_GyroY_IQR,0.0010000275
numerical__TouchNose_Right_GyroY_RMS,0.0009181122
numerical__DrinkGlas_Left_AccMag_Median,0.0009030322
numerical__CrossArms_RightWrist_gyro_magnitude_spectral_entropy,0.0008884518
numerical__StretchHold_RightWrist_acc_x_spectral_centroid,0.00087264745
numerical__StretchHold_LeftWrist_gyro_x_spectral_centroid,0.00083709223
numerical__TouchIndex_Right_AccY_Min,0.00082282955
numerical__LiftHold_Right_AccY_Min,0.0007889609
numerical__Q09,0.00077876414
numerical__PointFinger_LeftWrist_gyro_y_spectral_power,0.00075742556
numerical__DrinkGlas_Right_GyroMag_Min,0.00073487655
numerical__Q26,0.0007311405
numerical__RelaxedTask_LeftWrist_acc_y_spectral_entropy,0.0006973013
numerical__LiftHold_RightWrist_gyro_magnitude_spectral_centroid,0.000679344
numerical__TouchNose_Left_GyroMag_Median,0.00067219563
